obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
648	2025-11-03	LARISSA (AIRPORT)	9	11.75	2025-11-03	9	11.8722
648	2025-11-04	LARISSA (AIRPORT)	9	12.95	2025-11-04	9	15.2146
648	2025-11-05	LARISSA (AIRPORT)	9	13.25	2025-11-05	9	10.9405
648	2025-11-06	LARISSA (AIRPORT)	9	12.25	2025-11-06	9	11.5994
648	2025-11-07	LARISSA (AIRPORT)	9	11.65	2025-11-07	9	11.5559
648	2025-11-08	LARISSA (AIRPORT)	9	15.95	2025-11-08	9	14.0784
648	2025-11-09	LARISSA (AIRPORT)	9	17.15	2025-11-09	9	13.4191
648	2025-11-10	LARISSA (AIRPORT)	9	14.75	2025-11-10	9	15.852
648	2025-11-11	LARISSA (AIRPORT)	9	12.65	2025-11-11	9	10.2689
648	2025-11-12	LARISSA (AIRPORT)	9	9.75	2025-11-12	9	10.6254
648	2025-11-13	LARISSA (AIRPORT)	9	8.45	2025-11-13	9	8.64453
648	2025-11-14	LARISSA (AIRPORT)	9	8.95	2025-11-14	9	8.11969
648	2025-11-15	LARISSA (AIRPORT)	9	9.25	2025-11-15	9	7.62141
648	2025-11-16	LARISSA (AIRPORT)	9	10.65	2025-11-16	9	7.81559
648	2025-11-17	LARISSA (AIRPORT)	9	9.75	2025-11-17	9	8.09073
648	2025-11-18	LARISSA (AIRPORT)	9	15.25	2025-11-18	9	11.8146
648	2025-11-19	LARISSA (AIRPORT)	9	13.25	2025-11-19	9	12.8999
648	2025-11-20	LARISSA (AIRPORT)	9	12.65	2025-11-20	9	13.0603
648	2025-11-21	LARISSA (AIRPORT)	9	12.25	2025-11-21	9	14.3164
648	2025-11-22	LARISSA (AIRPORT)	9	12.75	2025-11-22	9	13.4717
648	2025-11-23	LARISSA (AIRPORT)	9	6.75	2025-11-23	9	8.75049
648	2025-11-24	LARISSA (AIRPORT)	9	1.25	2025-11-24	9	2.8172
648	2025-11-25	LARISSA (AIRPORT)	9	5.75	2025-11-25	9	5.1851
648	2025-11-26	LARISSA (AIRPORT)	9	10.25	2025-11-26	9	10.4676
648	2025-11-27	LARISSA (AIRPORT)	9	12.45	2025-11-27	9	12.3988
648	2025-11-28	LARISSA (AIRPORT)	9	11.45	2025-11-28	9	10.8508
648	2025-11-29	LARISSA (AIRPORT)	9	8.95	2025-11-29	9	8.21103
648	2025-11-30	LARISSA (AIRPORT)	9	7.75	2025-11-30	9	6.86392
650	2025-11-01	LIMNOS (AIRPORT)	9	13.65	2025-11-01	9	13.0207
650	2025-11-02	LIMNOS (AIRPORT)	9	14.25	2025-11-02	9	12.7383
650	2025-11-03	LIMNOS (AIRPORT)	9	15.65	2025-11-03	9	13.4953
650	2025-11-04	LIMNOS (AIRPORT)	9	15.95	2025-11-04	9	14.6902
650	2025-11-05	LIMNOS (AIRPORT)	9	12.75	2025-11-05	9	12.085
650	2025-11-06	LIMNOS (AIRPORT)	9	11.25	2025-11-06	9	11.7293
650	2025-11-07	LIMNOS (AIRPORT)	9	13.95	2025-11-07	9	13.511
650	2025-11-08	LIMNOS (AIRPORT)	9	14.95	2025-11-08	9	13.3079
650	2025-11-09	LIMNOS (AIRPORT)	9	18.45	2025-11-09	9	17.342
650	2025-11-10	LIMNOS (AIRPORT)	9	17.45	2025-11-10	9	17.1977
650	2025-11-11	LIMNOS (AIRPORT)	9	15.15	2025-11-11	9	13.8158
650	2025-11-12	LIMNOS (AIRPORT)	9	10.95	2025-11-12	9	10.4818
